wine_id,wine_name,wine_url,keywords,total_user_count
7103,Amarone della Valpolicella Classico,https://www.seulementproduitsitaliens.be/vino/tommasi/4405-amarone-della-valpolicella-tommasi.html?codice=PRA001-2018,coffee,252
15617,Blanc de Blancs Brut Champagne Grand Cru,https://www.grandcruwijnen.nl/champagne-billecart-salmon-blanc-de-blancs-grand-cru,toast,252
66284,Cabernet Sauvignon,https://www.wereldwijnonline.be/caymus-cabernet-sauvignon-napa-usa-rode-141629936.html,cream,252
22447,Bolgheri Superiore,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10TOOR90B,coffee,250
1192720,Dom Ruinart Blanc de Blancs Brut Champagne,https://www.vino.com/fr/dettaglio/champagne-blanc-de-blancs-dom-ruinart-2010.html?utm_medium=aggregatore&utm_source=vivino&utm_term=ruinartblancdeblancsdomruinart2010&utm_country=be&st=be&cr=eur,citrus,250
1136950,Comtes de Champagne Blanc de Blancs,http://www.vivino.com/wines/2214882,green apple,249
4086,Almaviva,http://www.vivino.com/wines/162909630,coffee,246
1175427,Valbuena 5º,https://www.grandcruwijnen.nl/2018-vega-sicilia-valbuena-5,coffee,244
1148298,Brut Rosé Champagne,https://www.topwijnen.be/nl/product/wijnen/frankrijk/champagne/montagne-de-reims/reims/wn8003801/wn8003801,citrus,242
79631,Vintage,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40KRCH08BC,cream,240
1127349,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40SASA02NDB,citrus,240
79265,Saint-Julien (Grand Cru Classé),https://www.grandcruwijnen.nl/2018-chateau-gruaud-larose,coffee,238
1658,Tenuta Guado al Tasso Bolgheri Superiore,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10TBGT98M,coffee,234
77137,Unico,https://hermanwines.com/products/unico-vega-sicilia-1965-r-0-75l,coffee,234
82613,Pessac-Léognan (Grand Cru Classé de Graves),https://www.grandcruwijnen.nl/2018-chateau-pape-clement-rouge-grand-cru-classe-de-graves,coffee,234
1107336,ARTEMIS Cabernet Sauvignon,https://www.wereldwijnonline.be/stags-leap-artemis-cabernet-sauvignon-usa-rode-wij.html,coffee,232
1167182,MV,https://www.vinetiq.eu/nl-be/onze-wijnen/frankrijk/champagne/ay/champagne-henri-giraud-mv-2016-millesime-grand-cru-half-wooden-case.html,toast,226
79162,Belle Epoque Brut Champagne,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/perrier-jouet/11547-perrier-jouet-belle-epoque-brut-champagne.html?codice=per809-2014,green apple,224
9220,Grand Vin de Château Palmer (Grand Cru Classé),https://www.grandcruwijnen.nl/2017-chateau-palmer,coffee,222
1148298,Brut Rosé Champagne,https://www.topwijnen.be/nl/product/wijnen/frankrijk/champagne/montagne-de-reims/reims/wn8003801/wn8003801,cream,222
1655970,Grand Vin Pauillac (Premier Grand Cru Classé),http://www.wijnhandeljolie.be/catalogus/wijnen/rode-wijn/chateau-latour-pauillac-ac.html,coffee,216
1153863,Sauternes,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60YQU62B,cream,215
81848,Saint-Julien (Grand Cru Classé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEW=60LLC07B,coffee,214
2114480,Brut Rosé Champagne,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/dom-perignon/11486-dom-perignon-brut-rose-champagne-.html?codice=ZPP010,toast,214
17656,Pessac-Léognan (Grand Cru Classé de Graves),https://www.grandcruwijnen.nl/2019-chateau-smith-haut-lafitte-grand-cru-classe-de-graves,coffee,210
1219218,Clio,https://www.grandcruwijnen.nl/2020-bodegas-el-nido-clio,coffee,210
79162,Belle Epoque Brut Champagne,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/perrier-jouet/11547-perrier-jouet-belle-epoque-brut-champagne.html?codice=per809-2014,cream,207
1127795,Château Margaux (Premier Grand Cru Classé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60MAR60B,coffee,206
61744,Saint-Julien (Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/saint-julien/chateau-ducru-beaucaillou/wn1010392/wn1010392,coffee,204
22448,Le Serre Nuove,https://www.wijnig.nl/ornellaia-le-serre-nuove-2020.html,coffee,202
1148747,Saint-Émilion Grand Cru (Premier Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/saint-emilion/saint-emilion-premier-gr-cru-classe-a/chateau-cheval-blanc/wn1020744/wn1020744,coffee,202
1153863,Sauternes,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60YQU62B,citrus,201
1651,Tenuta Tignanello 'Solaia',http://www.vivino.com/wines/159347388,coffee,200
1127349,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40SASA02NDB,toast,200
1155762,Les Noisetiers,https://www.grandcruwijnen.nl/2020-kistler-les-noisetiers-chardonnay,cream,197
16587,Insignia,https://www.grandcruwijnen.nl/2019-joseph-phelps-insignia,coffee,194
1301256,Amour de Deutz Millésimé Brut Champagne,https://www.wijnig.nl/amour-de-deutz-2010.html,toast,190
18555,Pomerol,http://www.vivino.com/wines/1286336,coffee,188
80472,Saint-Estèphe (Grand Cru Classé),https://www.grandcruwijnen.nl/2017-chateau-montrose-saint-estephe,coffee,188
1257923,Silex,https://www.wijnig.nl/didier-dagueneau-silex-2018.html,citrus,185
1134803,Châteauneuf-du-Pape,https://www.grandcruwijnen.nl/2020-chateau-de-beaucastel-chateauneuf-du-pape-rouge,coffee,184
1441099,Blanc des Millénaires,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/charles-heidsieck/11470-charles-heidsieck-blanc-des-millenaires-blanc-de-blancs-.html?codice=PHL112,citrus,181
1697,Chardonnay,https://www.grandcruwijnen.nl/2019-chateau-montelena-chardonnay,toast,178
79836,La Grande Dame Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40VCGD08MC,cream,178
10175,Saint-Émilion Grand Cru (Premier Grand Cru Classé),https://www.grandcruwijnen.nl/2018-chateau-angelus-1e-grand-cru-classe-saint-emilion,coffee,176
12393,Amarone della Valpolicella Classico,https://www.vanoudsdezwaan.nl/amarone-della-valpolicella-2018.html,coffee,176
18931,La Grande Année Brut Champagne,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/bollinger/25238-bollinger-la-grande-annee-astucciato.html?codice=MRG309,green apple,175
8195,Amarone della Valpolicella Classico,https://www.seulementproduitsitaliens.be/vino/allegrini/111-allegrini-amarone-della-valpolicella-classico.html?codice=ALG004-2018,coffee,174
1155762,Les Noisetiers,https://www.grandcruwijnen.nl/2020-kistler-les-noisetiers-chardonnay,citrus,174
79835,Cuvée Nicolas François Billecart Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=1700643,citrus,173
11604,Malleolus,https://www.grandcruwijnen.nl/2020-emilio-moro-malleolus,coffee,172
1238419,Grand Siècle Champagne (Grande Cuvée),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/laurent-perrier-/11518-laurent-perrier--grand-siecle-champagne-(grande-cuvee).html?codice=LPR003,cream,169
